Municipio,Classe_eta_capofamiglia,Genere_capofamiglia,Numero_componenti,Tipologia_familiare,Cittadinanza,Frq
1,Da 18 a 34 anni,Maschi,3,Coppia convivente con almeno un figlio minorenne,Filippine,3
1,Da 18 a 34 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Egitto,2
1,Da 18 a 34 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Ecuador,2
1,Da 18 a 34 anni,Maschi,3,Coppia convivente con almeno un figlio minorenne,Altri paesi,5
1,Da 18 a 34 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Altri paesi,15
1,Da 18 a 34 anni,Maschi,2,Monogenitore con almeno un figlio minorenne,Italia,8
1,Da 18 a 34 anni,Maschi,3,Monogenitore con almeno un figlio minorenne,Italia,5
1,Da 18 a 34 anni,Maschi,4 e più,Monogenitore con almeno un figlio minorenne,Italia,2
1,Da 18 a 34 anni,Maschi,2,Monogenitore con almeno un figlio minorenne,Cina,3
1,Da 18 a 34 anni,Maschi,3,Monogenitore con almeno un figlio minorenne,Cina,2
1,Da 18 a 34 anni,Maschi,2,Monogenitore con almeno un figlio minorenne,Altri paesi,5
1,Da 18 a 34 anni,Maschi,2,Monogenitore con figli tutti maggiorenni,Italia,2
1,Da 18 a 34 anni,Maschi,3,Monogenitore con figli tutti maggiorenni,Italia,2
1,Da 18 a 34 anni,Maschi,3,Monogenitore con figli tutti maggiorenni,Cina,2
1,Da 18 a 34 anni,Maschi,2,Monogenitore con figli tutti maggiorenni,Altri paesi,1
1,Da 18 a 34 anni,Maschi,2,Altre tipologie,Italia,226
1,Da 18 a 34 anni,Maschi,3,Altre tipologie,Italia,44
1,Da 18 a 34 anni,Maschi,4 e più,Altre tipologie,Italia,6
1,Da 18 a 34 anni,Maschi,2,Altre tipologie,Cina,8
1,Da 18 a 34 anni,Maschi,2,Altre tipologie,Filippine,2
1,Da 18 a 34 anni,Maschi,4 e più,Altre tipologie,Filippine,2
1,Da 18 a 34 anni,Maschi,2,Altre tipologie,Altri paesi,6
1,Da 18 a 34 anni,Maschi,3,Altre tipologie,Altri paesi,3
1,Da 18 a 34 anni,Femmine,1,Single,Italia,1351
1,Da 18 a 34 anni,Femmine,1,Single,Sri Lanka,6
1,Da 18 a 34 anni,Femmine,1,Single,Cina,41
1,Da 18 a 34 anni,Femmine,1,Single,Filippine,18
1,Da 18 a 34 anni,Femmine,1,Single,Egitto,2
1,Da 18 a 34 anni,Femmine,1,Single,Ecuador,2
1,Da 18 a 34 anni,Femmine,1,Single,Perù,10
1,Da 18 a 34 anni,Femmine,1,Single,Altri paesi,340
1,Da 18 a 34 anni,Femmine,2,Coppia sposata senza figli,Italia,64
1,Da 18 a 34 anni,Femmine,4 e più,Coppia sposata senza figli,Italia,1
1,Da 18 a 34 anni,Femmine,2,Coppia sposata senza figli,Altri paesi,15
1,Da 18 a 34 anni,Femmine,3,Coppia sposata senza figli,Altri paesi,1
1,Da 18 a 34 anni,Femmine,2,Coppia convivente senza figli,Italia,92
1,Da 18 a 34 anni,Femmine,3,Coppia convivente senza figli,Italia,3
1,Da 18 a 34 anni,Femmine,2,Coppia convivente senza figli,Sri Lanka,3
1,Da 18 a 34 anni,Femmine,2,Coppia convivente senza figli,Cina,5
1,Da 18 a 34 anni,Femmine,2,Coppia convivente senza figli,Altri paesi,10
1,Da 18 a 34 anni,Femmine,3,Coppia sposata con almeno un figlio minorenne,Italia,67
1,Da 18 a 34 anni,Femmine,4 e più,Coppia sposata con almeno un figlio minorenne,Italia,60
1,Da 18 a 34 anni,Femmine,3,Coppia sposata con almeno un figlio minorenne,Sri Lanka,1
1,Da 18 a 34 anni,Femmine,4 e più,Coppia sposata con almeno un figlio minorenne,Cina,6
1,Da 18 a 34 anni,Femmine,3,Coppia sposata con almeno un figlio minorenne,Filippine,1
1,Da 18 a 34 anni,Femmine,3,Coppia sposata con almeno un figlio minorenne,Altri paesi,8
1,Da 18 a 34 anni,Femmine,4 e più,Coppia sposata con almeno un figlio minorenne,Altri paesi,3
1,Da 18 a 34 anni,Femmine,3,Coppia convivente con almeno un figlio minorenne,Italia,54
1,Da 18 a 34 anni,Femmine,4 e più,Coppia convivente con almeno un figlio minorenne,Italia,18
1,Da 18 a 34 anni,Femmine,3,Coppia convivente con almeno un figlio minorenne,Sri Lanka,1
1,Da 18 a 34 anni,Femmine,3,Coppia convivente con almeno un figlio minorenne,Cina,3
1,Da 18 a 34 anni,Femmine,4 e più,Coppia convivente con almeno un figlio minorenne,Cina,6
1,Da 18 a 34 anni,Femmine,3,Coppia convivente con almeno un figlio minorenne,Altri paesi,7
1,Da 18 a 34 anni,Femmine,4 e più,Coppia convivente con almeno un figlio minorenne,Altri paesi,4
1,Da 18 a 34 anni,Femmine,2,Monogenitore con almeno un figlio minorenne,Italia,107
1,Da 18 a 34 anni,Femmine,3,Monogenitore con almeno un figlio minorenne,Italia,24
1,Da 18 a 34 anni,Femmine,4 e più,Monogenitore con almeno un figlio minorenne,Italia,12
1,Da 18 a 34 anni,Femmine,2,Monogenitore con almeno un figlio minorenne,Sri Lanka,1
1,Da 18 a 34 anni,Femmine,3,Monogenitore con almeno un figlio minorenne,Sri Lanka,1
1,Da 18 a 34 anni,Femmine,4 e più,Monogenitore con almeno un figlio minorenne,Sri Lanka,1
1,Da 18 a 34 anni,Femmine,2,Monogenitore con almeno un figlio minorenne,Cina,11
1,Da 18 a 34 anni,Femmine,3,Monogenitore con almeno un figlio minorenne,Cina,9
1,Da 18 a 34 anni,Femmine,4 e più,Monogenitore con almeno un figlio minorenne,Cina,3
1,Da 18 a 34 anni,Femmine,2,Monogenitore con almeno un figlio minorenne,Filippine,3
1,Da 18 a 34 anni,Femmine,2,Monogenitore con almeno un figlio minorenne,Ecuador,2
1,Da 18 a 34 anni,Femmine,2,Monogenitore con almeno un figlio minorenne,Perù,6
1,Da 18 a 34 anni,Femmine,2,Monogenitore con almeno un figlio minorenne,Altri paesi,34
1,Da 18 a 34 anni,Femmine,3,Monogenitore con almeno un figlio minorenne,Altri paesi,20
1,Da 18 a 34 anni,Femmine,4 e più,Monogenitore con almeno un figlio minorenne,Altri paesi,3
1,Da 18 a 34 anni,Femmine,2,Monogenitore con figli tutti maggiorenni,Italia,1
1,Da 18 a 34 anni,Femmine,3,Monogenitore con figli tutti maggiorenni,Italia,2
1,Da 18 a 34 anni,Femmine,4 e più,Monogenitore con figli tutti maggiorenni,Italia,1
1,Da 18 a 34 anni,Femmine,2,Monogenitore con figli tutti maggiorenni,Filippine,1
1,Da 18 a 34 anni,Femmine,2,Monogenitore con figli tutti maggiorenni,Altri paesi,1
1,Da 18 a 34 anni,Femmine,2,Altre tipologie,Italia,177
1,Da 18 a 34 anni,Femmine,3,Altre tipologie,Italia,28
1,Da 18 a 34 anni,Femmine,4 e più,Altre tipologie,Italia,11
1,Da 18 a 34 anni,Femmine,2,Altre tipologie,Cina,1
1,Da 18 a 34 anni,Femmine,3,Altre tipologie,Cina,1
1,Da 18 a 34 anni,Femmine,2,Altre tipologie,Filippine,2
1,Da 18 a 34 anni,Femmine,2,Altre tipologie,Ecuador,1
1,Da 18 a 34 anni,Femmine,3,Altre tipologie,Perù,1
1,Da 18 a 34 anni,Femmine,2,Altre tipologie,Altri paesi,9
1,Da 35 a 64 anni,Maschi,1,Single,Italia,4468
1,Da 35 a 64 anni,Maschi,1,Single,Sri Lanka,142
1,Da 35 a 64 anni,Maschi,1,Single,Cina,107
1,Da 35 a 64 anni,Maschi,1,Single,Filippine,61
1,Da 35 a 64 anni,Maschi,1,Single,Egitto,38
1,Da 35 a 64 anni,Maschi,1,Single,Ecuador,10
1,Da 35 a 64 anni,Maschi,1,Single,Perù,31
1,Da 35 a 64 anni,Maschi,1,Single,Altri paesi,568
1,Da 35 a 64 anni,Maschi,2,Coppia sposata senza figli,Italia,1238
1,Da 35 a 64 anni,Maschi,3,Coppia sposata senza figli,Italia,27
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata senza figli,Italia,7
1,Da 35 a 64 anni,Maschi,2,Coppia sposata senza figli,Sri Lanka,32
1,Da 35 a 64 anni,Maschi,3,Coppia sposata senza figli,Sri Lanka,3
1,Da 35 a 64 anni,Maschi,2,Coppia sposata senza figli,Cina,8
1,Da 35 a 64 anni,Maschi,3,Coppia sposata senza figli,Cina,1
1,Da 35 a 64 anni,Maschi,2,Coppia sposata senza figli,Filippine,55
1,Da 35 a 64 anni,Maschi,3,Coppia sposata senza figli,Filippine,3
1,Da 35 a 64 anni,Maschi,2,Coppia sposata senza figli,Ecuador,1
1,Da 35 a 64 anni,Maschi,2,Coppia sposata senza figli,Perù,1
1,Da 35 a 64 anni,Maschi,2,Coppia sposata senza figli,Altri paesi,108
1,Da 35 a 64 anni,Maschi,3,Coppia sposata senza figli,Altri paesi,1
1,Da 35 a 64 anni,Maschi,2,Coppia convivente senza figli,Italia,300
1,Da 35 a 64 anni,Maschi,3,Coppia convivente senza figli,Italia,11
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente senza figli,Italia,4
1,Da 35 a 64 anni,Maschi,2,Coppia convivente senza figli,Sri Lanka,21
1,Da 35 a 64 anni,Maschi,3,Coppia convivente senza figli,Sri Lanka,1
1,Da 35 a 64 anni,Maschi,2,Coppia convivente senza figli,Cina,12
1,Da 35 a 64 anni,Maschi,3,Coppia convivente senza figli,Cina,1
1,Da 35 a 64 anni,Maschi,2,Coppia convivente senza figli,Filippine,15
1,Da 35 a 64 anni,Maschi,3,Coppia convivente senza figli,Filippine,4
1,Da 35 a 64 anni,Maschi,2,Coppia convivente senza figli,Egitto,3
1,Da 35 a 64 anni,Maschi,2,Coppia convivente senza figli,Ecuador,5
1,Da 35 a 64 anni,Maschi,2,Coppia convivente senza figli,Perù,1
1,Da 35 a 64 anni,Maschi,2,Coppia convivente senza figli,Altri paesi,53
1,Da 35 a 64 anni,Maschi,3,Coppia convivente senza figli,Altri paesi,3
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente senza figli,Altri paesi,1
1,Da 35 a 64 anni,Maschi,3,Coppia sposata con almeno un figlio minorenne,Italia,1193
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Italia,2228
1,Da 35 a 64 anni,Maschi,3,Coppia sposata con almeno un figlio minorenne,Sri Lanka,25
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Sri Lanka,52
1,Da 35 a 64 anni,Maschi,3,Coppia sposata con almeno un figlio minorenne,Cina,13
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Cina,16
1,Da 35 a 64 anni,Maschi,3,Coppia sposata con almeno un figlio minorenne,Filippine,11
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Filippine,29
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Egitto,8
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Ecuador,5
1,Da 35 a 64 anni,Maschi,3,Coppia sposata con almeno un figlio minorenne,Perù,5
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Perù,8
1,Da 35 a 64 anni,Maschi,3,Coppia sposata con almeno un figlio minorenne,Altri paesi,84
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con almeno un figlio minorenne,Altri paesi,144
1,Da 35 a 64 anni,Maschi,3,Coppia sposata con figli tutti maggiorenni,Italia,682
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con figli tutti maggiorenni,Italia,741
1,Da 35 a 64 anni,Maschi,3,Coppia sposata con figli tutti maggiorenni,Sri Lanka,21
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con figli tutti maggiorenni,Sri Lanka,7
1,Da 35 a 64 anni,Maschi,3,Coppia sposata con figli tutti maggiorenni,Cina,9
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con figli tutti maggiorenni,Cina,3
1,Da 35 a 64 anni,Maschi,3,Coppia sposata con figli tutti maggiorenni,Filippine,33
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con figli tutti maggiorenni,Filippine,21
1,Da 35 a 64 anni,Maschi,3,Coppia sposata con figli tutti maggiorenni,Perù,1
1,Da 35 a 64 anni,Maschi,3,Coppia sposata con figli tutti maggiorenni,Altri paesi,27
1,Da 35 a 64 anni,Maschi,4 e più,Coppia sposata con figli tutti maggiorenni,Altri paesi,31
1,Da 35 a 64 anni,Maschi,3,Coppia convivente con almeno un figlio minorenne,Italia,353
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Italia,290
1,Da 35 a 64 anni,Maschi,3,Coppia convivente con almeno un figlio minorenne,Sri Lanka,14
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Sri Lanka,8
1,Da 35 a 64 anni,Maschi,3,Coppia convivente con almeno un figlio minorenne,Cina,5
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Cina,16
1,Da 35 a 64 anni,Maschi,3,Coppia convivente con almeno un figlio minorenne,Filippine,13
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Filippine,7
1,Da 35 a 64 anni,Maschi,3,Coppia convivente con almeno un figlio minorenne,Egitto,4
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Egitto,3
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Ecuador,1
1,Da 35 a 64 anni,Maschi,3,Coppia convivente con almeno un figlio minorenne,Perù,3
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Perù,4
1,Da 35 a 64 anni,Maschi,3,Coppia convivente con almeno un figlio minorenne,Altri paesi,38
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con almeno un figlio minorenne,Altri paesi,33
1,Da 35 a 64 anni,Maschi,3,Coppia convivente con figli tutti maggiorenni,Italia,30
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con figli tutti maggiorenni,Italia,14
1,Da 35 a 64 anni,Maschi,3,Coppia convivente con figli tutti maggiorenni,Sri Lanka,1
1,Da 35 a 64 anni,Maschi,3,Coppia convivente con figli tutti maggiorenni,Cina,1
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con figli tutti maggiorenni,Cina,1
1,Da 35 a 64 anni,Maschi,3,Coppia convivente con figli tutti maggiorenni,Filippine,1
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con figli tutti maggiorenni,Filippine,2
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con figli tutti maggiorenni,Egitto,1
1,Da 35 a 64 anni,Maschi,3,Coppia convivente con figli tutti maggiorenni,Altri paesi,3
1,Da 35 a 64 anni,Maschi,4 e più,Coppia convivente con figli tutti maggiorenni,Altri paesi,1
1,Da 35 a 64 anni,Maschi,2,Monogenitore con almeno un figlio minorenne,Italia,215
1,Da 35 a 64 anni,Maschi,3,Monogenitore con almeno un figlio minorenne,Italia,203
1,Da 35 a 64 anni,Maschi,4 e più,Monogenitore con almeno un figlio minorenne,Italia,52
1,Da 35 a 64 anni,Maschi,2,Monogenitore con almeno un figlio minorenne,Sri Lanka,6
1,Da 35 a 64 anni,Maschi,3,Monogenitore con almeno un figlio minorenne,Sri Lanka,1
1,Da 35 a 64 anni,Maschi,4 e più,Monogenitore con almeno un figlio minorenne,Sri Lanka,2
1,Da 35 a 64 anni,Maschi,2,Monogenitore con almeno un figlio minorenne,Cina,6
1,Da 35 a 64 anni,Maschi,3,Monogenitore con almeno un figlio minorenne,Cina,8
1,Da 35 a 64 anni,Maschi,2,Monogenitore con almeno un figlio minorenne,Filippine,2
1,Da 35 a 64 anni,Maschi,3,Monogenitore con almeno un figlio minorenne,Filippine,1
1,Da 35 a 64 anni,Maschi,4 e più,Monogenitore con almeno un figlio minorenne,Filippine,1
1,Da 35 a 64 anni,Maschi,2,Monogenitore con almeno un figlio minorenne,Egitto,2
1,Da 35 a 64 anni,Maschi,2,Monogenitore con almeno un figlio minorenne,Ecuador,1
1,Da 35 a 64 anni,Maschi,2,Monogenitore con almeno un figlio minorenne,Altri paesi,21
1,Da 35 a 64 anni,Maschi,3,Monogenitore con almeno un figlio minorenne,Altri paesi,13
1,Da 35 a 64 anni,Maschi,4 e più,Monogenitore con almeno un figlio minorenne,Altri paesi,3
1,Da 35 a 64 anni,Maschi,2,Monogenitore con figli tutti maggiorenni,Italia,243
1,Da 35 a 64 anni,Maschi,3,Monogenitore con figli tutti maggiorenni,Italia,116
1,Da 35 a 64 anni,Maschi,4 e più,Monogenitore con figli tutti maggiorenni,Italia,9
1,Da 35 a 64 anni,Maschi,2,Monogenitore con figli tutti maggiorenni,Sri Lanka,3
1,Da 35 a 64 anni,Maschi,3,Monogenitore con figli tutti maggiorenni,Sri Lanka,3
1,Da 35 a 64 anni,Maschi,2,Monogenitore con figli tutti maggiorenni,Cina,5
1,Da 35 a 64 anni,Maschi,4 e più,Monogenitore con figli tutti maggiorenni,Cina,1
1,Da 35 a 64 anni,Maschi,2,Monogenitore con figli tutti maggiorenni,Filippine,3
1,Da 35 a 64 anni,Maschi,3,Monogenitore con figli tutti maggiorenni,Filippine,5
1,Da 35 a 64 anni,Maschi,4 e più,Monogenitore con figli tutti maggiorenni,Egitto,1
1,Da 35 a 64 anni,Maschi,2,Monogenitore con figli tutti maggiorenni,Altri paesi,11
1,Da 35 a 64 anni,Maschi,3,Monogenitore con figli tutti maggiorenni,Altri paesi,5
1,Da 35 a 64 anni,Maschi,4 e più,Monogenitore con figli tutti maggiorenni,Altri paesi,1
1,Da 35 a 64 anni,Maschi,2,Altre tipologie,Italia,236
1,Da 35 a 64 anni,Maschi,3,Altre tipologie,Italia,24
1,Da 35 a 64 anni,Maschi,4 e più,Altre tipologie,Italia,4
1,Da 35 a 64 anni,Maschi,2,Altre tipologie,Sri Lanka,5
1,Da 35 a 64 anni,Maschi,2,Altre tipologie,Cina,3
1,Da 35 a 64 anni,Maschi,2,Altre tipologie,Filippine,2
1,Da 35 a 64 anni,Maschi,3,Altre tipologie,Filippine,1
1,Da 35 a 64 anni,Maschi,2,Altre tipologie,Perù,1
1,Da 35 a 64 anni,Maschi,2,Altre tipologie,Altri paesi,18
1,Da 35 a 64 anni,Maschi,3,Altre tipologie,Altri paesi,1
1,Da 35 a 64 anni,Femmine,1,Single,Italia,3329
1,Da 35 a 64 anni,Femmine,1,Single,Sri Lanka,112
1,Da 35 a 64 anni,Femmine,1,Single,Cina,77
1,Da 35 a 64 anni,Femmine,1,Single,Filippine,372
1,Da 35 a 64 anni,Femmine,1,Single,Egitto,2
1,Da 35 a 64 anni,Femmine,1,Single,Ecuador,72
1,Da 35 a 64 anni,Femmine,1,Single,Perù,128
1,Da 35 a 64 anni,Femmine,1,Single,Altri paesi,1095
1,Da 35 a 64 anni,Femmine,2,Coppia sposata senza figli,Italia,433
1,Da 35 a 64 anni,Femmine,3,Coppia sposata senza figli,Italia,13
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata senza figli,Italia,1
1,Da 35 a 64 anni,Femmine,2,Coppia sposata senza figli,Sri Lanka,2
1,Da 35 a 64 anni,Femmine,2,Coppia sposata senza figli,Cina,2
1,Da 35 a 64 anni,Femmine,2,Coppia sposata senza figli,Filippine,39
1,Da 35 a 64 anni,Femmine,3,Coppia sposata senza figli,Filippine,2
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata senza figli,Filippine,1
1,Da 35 a 64 anni,Femmine,2,Coppia sposata senza figli,Ecuador,1
1,Da 35 a 64 anni,Femmine,2,Coppia sposata senza figli,Perù,1
1,Da 35 a 64 anni,Femmine,2,Coppia sposata senza figli,Altri paesi,26
1,Da 35 a 64 anni,Femmine,3,Coppia sposata senza figli,Altri paesi,1
1,Da 35 a 64 anni,Femmine,2,Coppia convivente senza figli,Italia,132
1,Da 35 a 64 anni,Femmine,3,Coppia convivente senza figli,Italia,4
1,Da 35 a 64 anni,Femmine,2,Coppia convivente senza figli,Sri Lanka,6
1,Da 35 a 64 anni,Femmine,2,Coppia convivente senza figli,Cina,2
1,Da 35 a 64 anni,Femmine,2,Coppia convivente senza figli,Filippine,10
1,Da 35 a 64 anni,Femmine,3,Coppia convivente senza figli,Filippine,4
1,Da 35 a 64 anni,Femmine,2,Coppia convivente senza figli,Perù,2
1,Da 35 a 64 anni,Femmine,2,Coppia convivente senza figli,Altri paesi,16
1,Da 35 a 64 anni,Femmine,3,Coppia convivente senza figli,Altri paesi,2
1,Da 35 a 64 anni,Femmine,3,Coppia sposata con almeno un figlio minorenne,Italia,404
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con almeno un figlio minorenne,Italia,869
1,Da 35 a 64 anni,Femmine,3,Coppia sposata con almeno un figlio minorenne,Sri Lanka,4
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con almeno un figlio minorenne,Sri Lanka,7
1,Da 35 a 64 anni,Femmine,3,Coppia sposata con almeno un figlio minorenne,Cina,2
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con almeno un figlio minorenne,Cina,10
1,Da 35 a 64 anni,Femmine,3,Coppia sposata con almeno un figlio minorenne,Filippine,6
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con almeno un figlio minorenne,Filippine,10
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con almeno un figlio minorenne,Egitto,1
1,Da 35 a 64 anni,Femmine,3,Coppia sposata con almeno un figlio minorenne,Ecuador,1
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con almeno un figlio minorenne,Ecuador,1
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con almeno un figlio minorenne,Perù,3
1,Da 35 a 64 anni,Femmine,3,Coppia sposata con almeno un figlio minorenne,Altri paesi,23
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con almeno un figlio minorenne,Altri paesi,51
1,Da 35 a 64 anni,Femmine,3,Coppia sposata con figli tutti maggiorenni,Italia,258
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con figli tutti maggiorenni,Italia,227
1,Da 35 a 64 anni,Femmine,3,Coppia sposata con figli tutti maggiorenni,Sri Lanka,1
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con figli tutti maggiorenni,Sri Lanka,2
1,Da 35 a 64 anni,Femmine,3,Coppia sposata con figli tutti maggiorenni,Cina,5
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con figli tutti maggiorenni,Cina,4
1,Da 35 a 64 anni,Femmine,3,Coppia sposata con figli tutti maggiorenni,Filippine,11
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con figli tutti maggiorenni,Filippine,4
1,Da 35 a 64 anni,Femmine,3,Coppia sposata con figli tutti maggiorenni,Ecuador,2
1,Da 35 a 64 anni,Femmine,3,Coppia sposata con figli tutti maggiorenni,Altri paesi,15
1,Da 35 a 64 anni,Femmine,4 e più,Coppia sposata con figli tutti maggiorenni,Altri paesi,8
1,Da 35 a 64 anni,Femmine,3,Coppia convivente con almeno un figlio minorenne,Italia,164
1,Da 35 a 64 anni,Femmine,4 e più,Coppia convivente con almeno un figlio minorenne,Italia,143
1,Da 35 a 64 anni,Femmine,3,Coppia convivente con almeno un figlio minorenne,Sri Lanka,4
1,Da 35 a 64 anni,Femmine,4 e più,Coppia convivente con almeno un figlio minorenne,Sri Lanka,1
1,Da 35 a 64 anni,Femmine,3,Coppia convivente con almeno un figlio minorenne,Cina,3
1,Da 35 a 64 anni,Femmine,4 e più,Coppia convivente con almeno un figlio minorenne,Cina,7
1,Da 35 a 64 anni,Femmine,3,Coppia convivente con almeno un figlio minorenne,Filippine,5
1,Da 35 a 64 anni,Femmine,4 e più,Coppia convivente con almeno un figlio minorenne,Filippine,5
1,Da 35 a 64 anni,Femmine,3,Coppia convivente con almeno un figlio minorenne,Perù,1
1,Da 35 a 64 anni,Femmine,4 e più,Coppia convivente con almeno un figlio minorenne,Perù,1
1,Da 35 a 64 anni,Femmine,3,Coppia convivente con almeno un figlio minorenne,Altri paesi,20
1,Da 35 a 64 anni,Femmine,4 e più,Coppia convivente con almeno un figlio minorenne,Altri paesi,14
1,Da 35 a 64 anni,Femmine,3,Coppia convivente con figli tutti maggiorenni,Italia,37
1,Da 35 a 64 anni,Femmine,4 e più,Coppia convivente con figli tutti maggiorenni,Italia,10
